Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173692,586138883,G,9.7873,8.4594,2.7487,-4.0821,8.8948,-0.4442,0.3142,1,G,7.6128,7.2721,2.1830,-0.5429,7.5927,-0.0714,0.2916,-1,3.0938
166784,14995033,G,10.4760,-4.7068,-1.9103,-9.1615,5.0796,-1.3522,-2.7560,-1,G,9.8924,5.2509,2.8072,7.8990,5.9542,1.0946,0.4909,1,20.3021
160957,44605639,G,12.3922,1.8468,-1.7679,12.1251,2.5566,2.2607,-0.7636,-1,G,6.8837,-2.9844,-0.1478,6.2005,2.9880,1.4767,-3.0921,1,5.5469
166895,113776336,G,9.1180,2.7646,3.7244,-7.8495,4.6383,-1.2969,0.9322,1,G,4.7200,-3.1484,-3.5137,0.0932,4.7179,0.0198,-2.3014,-1,11.4516
165617,129863472,G,12.6884,0.4693,-4.2902,11.9314,4.3158,1.7412,-1.4619,1,G,5.5098,0.9104,5.4107,-0.4928,5.4867,-0.0897,1.4041,-1,14.0419
163589,52111542,G,8.7324,1.8226,-7.7812,-3.5175,7.9919,-0.4270,-1.3407,-1,G,12.3152,-2.8479,10.0691,6.4928,10.4641,0.5863,1.8464,1,20.6848
163589,652842,G,5.4225,-0.7165,3.6634,-3.9318,3.7328,-0.9186,1.7639,1,G,8.5780,1.8715,-7.1287,-4.3875,7.3703,-0.5648,-1.3141,-1,10.6519
160957,136812952,G,5.3194,4.2440,-3.0135,-1.0918,5.2051,-0.2082,-0.6174,-1,G,3.9244,2.7988,-2.2096,-1.6351,3.5660,-0.4438,-0.6683,1,1.0623
166895,428678443,G,4.1901,-0.9673,-3.4910,-2.1032,3.6225,-0.5521,-1.8411,-1,T,3.5779,-2.8983,-2.0952,-0.0038,3.5763,-0.0011,-2.5156,1,3.1232
173692,523112983,G,44.9818,21.0672,-38.1942,-10.9877,43.6191,-0.2493,-1.0667,1,G,46.7959,-17.0371,40.2867,16.6301,43.7411,0.3716,1.9709,-1,91.4915
160957,168621318,G,16.3992,-1.1515,-4.2188,-15.8051,4.3731,-1.9966,-1.8373,-1,G,6.4941,4.5482,-3.4734,3.0679,5.7228,0.5132,-0.6522,1,17.0635
166895,76537507,G,16.2064,-3.0338,8.8527,-13.2311,9.3581,-1.1460,1.9009,1,G,17.9395,-0.1164,10.2266,-14.7383,10.2273,-1.1616,1.5822,-1,3.1164
165617,158001594,G,13.7647,-1.4291,-9.8850,-9.4711,9.9877,-0.8443,-1.7144,-1,G,7.5984,2.4471,6.2518,3.5568,6.7136,0.5077,1.1977,1,20.1784
166895,113198074,G,8.2945,7.4526,2.4789,2.6648,7.8541,0.3331,0.3211,-1,G,5.5023,-5.3061,-1.4506,0.0738,5.5008,0.0134,-2.8747,1,13.3112
166895,134974849,G,14.8192,4.8194,3.6530,-13.5287,6.0474,-1.5449,0.6486,-1,G,8.4559,-3.6985,-2.8116,7.0645,4.6459,1.2061,-2.4916,1,22.3154
166895,130375398,G,6.7684,-3.0486,-4.4317,4.1068,5.3790,0.7039,-2.1734,-1,G,9.7104,2.5520,5.8133,-7.3468,6.2485,-0.9879,1.1575,1,16.0904
163589,43210829,G,5.6939,3.3088,1.2076,4.4724,3.5223,1.0599,0.3499,1,T,5.0535,0.7002,0.8429,-4.9321,1.0958,-2.2095,0.8776,-1,9.7477
167807,1109063441,G,27.2990,7.8978,-6.8897,-25.2068,10.4806,-1.6114,-0.7173,1,G,19.6396,-1.5626,-9.3170,17.2179,9.4472,1.3613,-1.7370,-1,42.8558
173692,554226098,G,73.7771,23.3095,-12.5093,68.8711,26.4540,1.6850,-0.4925,1,G,39.0076,10.1782,-27.0718,-26.1744,28.9220,-0.8126,-1.2112,-1,90.6050
166784,44841307,G,9.6483,8.3352,2.8070,-3.9653,8.7951,-0.4368,0.3248,1,G,17.6449,15.2432,5.8105,-6.7241,16.3131,-0.4013,0.3642,-1,0.6721
160957,7127953,G,17.8666,6.9066,3.1289,-16.1775,7.5823,-1.5018,0.4254,-1,G,14.7384,-11.4424,-6.4149,-6.7180,13.1179,-0.4920,-2.6306,1,22.5280
165548,592551972,G,18.2573,3.0063,4.2660,17.4952,5.2188,1.9243,0.9569,1,G,4.4159,-1.5240,-3.9220,1.3358,4.2077,0.3124,-1.9414,-1,12.5360
166784,28600599,G,76.5902,27.3239,-10.8966,70.7157,29.4165,1.6110,-0.3795,-1,G,32.4736,-30.3592,8.4999,-7.7842,31.5266,-0.2445,2.8686,1,88.9920
167807,1141059111,G,8.0704,2.0866,4.2423,6.5399,4.7276,1.1283,1.1137,-1,G,5.0595,-1.5126,-4.8201,0.2581,5.0518,0.0511,-1.8749,1,11.2036
166033,459063974,G,7.6035,-7.1084,-1.3762,-2.3192,7.2404,-0.3151,-2.9504,-1,G,7.9226,7.3912,0.7922,2.7383,7.4335,0.3605,0.1068,1,15.5068
160957,68542674,G,7.1263,-0.1411,6.4801,-2.9600,6.4817,-0.4421,1.5926,1,G,9.3829,1.7182,6.7591,-6.2761,6.9741,-0.8088,1.3219,-1,3.0797
173430,198101570,G,14.4642,14.0680,-3.1569,-1.1524,14.4178,-0.0798,-0.2207,1,G,16.1035,-14.8203,5.9394,2.0961,15.9662,0.1309,2.7604,-1,30.4169
163589,5127706,G,16.1233,4.5997,12.5910,8.9587,13.4049,0.6265,1.2205,1,G,7.3238,3.9546,4.8307,3.8280,6.2429,0.5801,0.8848,-1,3.0947
160957,104461756,G,8.6287,5.7936,-1.7972,-6.1357,6.0659,-0.8895,-0.3008,1,G,82.6382,-34.8169,-10.8074,74.1623,36.4557,1.4589,-2.8406,-1,51.9692
163589,32759189,G,117.3810,22.8899,-14.7104,114.1840,27.2092,2.1413,-0.5712,1,G,14.8855,-0.1074,8.0488,12.5208,8.0495,1.2251,1.5841,-1,29.6131
